feature_name,importance,
seqq_qoq_lag07,305,0.000556171
atq_qoq_lag10,305,0.000556171
aoq_yoy_lag11,305,0.000556171
capxy_q_yoy_lag15,305,0.000556171
capxy_q_qoq_lag16,305,0.000556171
apq_qoq_lag08,304,0.000554348
dpq_yoy_lag16,304,0.000554348
capxy_q_qoq_lag19,304,0.000554348
req_yoy_lag19,304,0.000554348
lctq_qoq_lag09,303,0.000552524
dlttq_atq,302,0.000550701
atq_qoq_lag02,302,0.000550701
cogsq_yoy_lag03,302,0.000550701
dpactq_yoy_lag05,302,0.000550701
xintq_qoq_lag09,302,0.000550701
capxy_q_qoq_lag15,302,0.000550701
lcoq_qoq_lag16,302,0.000550701
rectq_qoq_lag17,302,0.000550701
nopiq_yoy_lag18,302,0.000550701
xintq_qoq_lag02,301,0.000548877
acoq_yoy_lag02,301,0.000548877
dpq_yoy_lag11,301,0.000548877
acoq_atq_lag13,301,0.000548877
capxy_q_revtq_lag02,300,0.000547054
rectq_qoq_lag05,300,0.000547054
revtq_qoq_lag05,300,0.000547054
dlcq_atq_lag08,300,0.000547054
lctq_qoq_lag12,300,0.000547054
ppentq_yoy_lag16,300,0.000547054
oibdpq_qoq_lag18,300,0.000547054
acoq_atq_lag19,300,0.000547054
chechy_q_revtq,299,0.00054523
seqq_yoy_lag05,299,0.00054523
actq_yoy_lag13,299,0.00054523
dlcq_atq_lag13,299,0.00054523
txtq_qoq_lag19,299,0.00054523
niq_yoy_lag19,299,0.00054523
capxy_q_qoq_lag01,298,0.000543407
ltq_yoy_lag01,298,0.000543407
xintq_yoy_lag04,298,0.000543407
niq_yoy_lag08,298,0.000543407
actq_qoq_lag12,298,0.000543407
cogsq_qoq_lag18,298,0.000543407
lcoq_qoq_lag04,297,0.000541583
loq_yoy_lag04,297,0.000541583
acoq_yoy_lag12,297,0.000541583
seqq_yoy_lag14,297,0.000541583
niq_qoq_lag15,297,0.000541583
dpactq_qoq_lag17,297,0.000541583
niq_qoq_lag18,297,0.000541583
wcapq_qoq_lag18,297,0.000541583
wcapq_yoy_lag02,296,0.00053976
xintq_qoq_lag07,296,0.00053976
rectq_yoy_lag10,296,0.00053976
loq_yoy_lag11,296,0.00053976
wcapq_yoy_lag11,296,0.00053976
cogsq_yoy_lag13,296,0.00053976
xintq_qoq_lag14,296,0.00053976
cheq_atq_lag14,296,0.00053976
ancq_yoy_lag01,295,0.000537936
seqq_yoy_lag02,295,0.000537936
acoq_qoq_lag05,295,0.000537936
niq_qoq_lag08,295,0.000537936
seqq_yoy_lag03,294,0.000536113
wcapq_yoy_lag07,294,0.000536113
lctq_qoq_lag04,293,0.000534289
loq_yoy_lag07,293,0.000534289
dpq_qoq_lag09,293,0.000534289
rectq_qoq_lag09,293,0.000534289
cheq_atq_lag17,293,0.000534289
seqq_qoq_lag19,293,0.000534289
capxy_q_qoq,292,0.000532466
lltq_yoy_lag02,292,0.000532466
acoq_atq_lag06,292,0.000532466
capxy_q_yoy_lag10,292,0.000532466
rectq_qoq_lag13,292,0.000532466
cogsq_qoq_lag17,292,0.000532466
dlcq_yoy_lag19,292,0.000532466
invtq_yoy_lag02,291,0.000530642
dpq_yoy_lag04,291,0.000530642
oancfy_q_yoy_lag06,291,0.000530642
dpq_qoq_lag07,291,0.000530642
seqq_qoq_lag09,291,0.000530642
xoprq_qoq_lag11,291,0.000530642
xsgaq_qoq_lag11,291,0.000530642
