,bagging_fraction,bagging_freq,boosting_type,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_bin,metric,min_data_in_leaf,min_gain_to_split,num_class,num_leaves,num_threads,objective,reduced_dimension,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,status
65,0.8,8.0,gbdt,0.8,0.0,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.6036323145446169,0.9998464078639173,0.6093000038398034,0.6036323145446169,0.6036323145446169,0.6036323145446169,0.6036323145446169,ok
66,0.8,8.0,gbdt,0.8,0.0,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.6088158500998311,0.9998336085192439,0.6018507852397957,0.6088158500998311,0.6088158500998311,0.6088158500998311,0.6088158500998311,ok
67,0.8,8.0,gbdt,0.8,0.0,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.6063200737213945,0.9998208091745703,0.6071497139346466,0.6063200737213945,0.6063200737213945,0.6063200737213945,0.6063200737213945,ok
68,0.8,8.0,gbdt,0.8,0.0,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.6018660727998771,0.9998080098298967,0.6026187459202089,0.6018660727998771,0.6018660727998771,0.6018660727998771,0.6018660727998771,ok
69,0.8,8.0,gbdt,0.8,0.0,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.6057057287667025,0.999884805897938,0.6029259301923742,0.6057057287667025,0.6057057287667025,0.6057057287667025,0.6057057287667025,ok
70,0.8,8.0,gbdt,0.8,0.0,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.60532176317002,0.9998080098298967,0.6079176746150597,0.60532176317002,0.60532176317002,0.60532176317002,0.60532176317002,ok
71,0.8,8.0,gbdt,0.8,0.0,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.6058593150053755,0.9997952104852231,0.599470107130515,0.6058593150053755,0.6058593150053755,0.6058593150053755,0.6058593150053755,ok
72,0.8,8.0,gbdt,0.8,0.0,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.6028259867915835,0.9998976052426116,0.6102983527243405,0.6028259867915835,0.6028259867915835,0.6028259867915835,0.6028259867915835,ok
73,0.8,8.0,gbdt,0.8,0.0,1.0,0.001,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.5148594685916142,0.628486221505459,0.5171063241562032,0.5148594685916142,0.5148594685916142,0.5148594685916142,0.5148594685916142,ok
74,0.8,8.0,gbdt,0.8,0.0,1.0,0.01,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.5813239133773613,0.9305763544906501,0.5782743923511117,0.5813239133773613,0.5813239133773613,0.5813239133773613,0.5813239133773613,ok
75,0.8,2.0,gbdt,0.8,0.4,1.0,0.1,255.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.6016356934418676,1.0,0.6001228737088661,0.6016356934418676,0.6016356934418676,0.6016356934418676,0.6016356934418676,ok
76,0.4,5.0,gbdt,0.6,0.0,0.5,1.0,300.0,multi_error,250.0,0.05,3.0,300.0,2.0,multiclass,573.0,-0.48080172016587314,0.9973889336865952,0.48669508121184196,0.48080172016587314,0.48080172016587314,0.48080172016587314,0.48080172016587314,ok
77,0.8,2.0,gbdt,0.8,1.0,0.0,0.1,300.0,multi_error,250.0,0.05,3.0,200.0,2.0,multiclass,709.0,-0.5931116571955153,0.9999744013106528,0.596436662442883,0.5931116571955153,0.5931116571955153,0.5931116571955153,0.5931116571955153,ok
78,0.8,8.0,dart,0.4,0.0,1.0,0.0001,300.0,multi_error,750.0,0.2,3.0,400.0,2.0,multiclass,573.0,-0.4716249424051605,0.5258226778788926,0.4717198479437853,0.4716249424051605,0.4716249424051605,0.4716249424051605,0.4716249424051605,ok
79,0.6,2.0,gbdt,0.8,0.0,1.0,1e-05,200.0,multi_error,250.0,0.4,3.0,400.0,2.0,multiclass,573.0,-0.32744586085086774,0.3344212776305853,0.3359827976807587,0.32744586085086774,0.32744586085086774,0.32744586085086774,0.32744586085086774,ok
80,0.8,2.0,gbdt,0.8,0.0,1.0,0.1,300.0,multi_error,500.0,0.05,3.0,400.0,2.0,multiclass,475.0,-0.598525572108739,1.0,0.5965518565449449,0.598525572108739,0.598525572108739,0.598525572108739,0.598525572108739,ok
81,0.4,8.0,gbdt,0.8,0.4,0.5,0.001,255.0,multi_error,250.0,0.05,3.0,300.0,2.0,multiclass,573.0,-0.5008831208723699,0.5858772030872019,0.5040509925891794,0.5008831208723699,0.5008831208723699,0.5008831208723699,0.5008831208723699,ok
82,0.8,5.0,gbdt,0.6,1.0,1.0,0.01,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,709.0,-0.5740285670403932,0.9268389458459727,0.5767768690243059,0.5740285670403932,0.5740285670403932,0.5740285670403932,0.5740285670403932,ok
83,0.8,2.0,dart,0.4,0.0,0.0,0.1,300.0,multi_error,750.0,0.4,3.0,200.0,2.0,multiclass,573.0,-0.5681922899708186,0.8959541271486899,0.5673693506892447,0.5681922899708186,0.5681922899708186,0.5681922899708186,0.5681922899708186,ok
84,0.8,2.0,gbdt,0.8,0.0,1.0,1.0,200.0,multi_error,250.0,0.2,3.0,400.0,2.0,multiclass,573.0,-0.5133620027645523,0.9997952104852231,0.5201397688438352,0.5133620027645523,0.5133620027645523,0.5133620027645523,0.5133620027645523,ok
85,0.6,8.0,gbdt,0.8,0.0,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,475.0,-0.5957610198126247,0.9993984308003431,0.5934416157892716,0.5957610198126247,0.5957610198126247,0.5957610198126247,0.5957610198126247,ok
86,0.8,2.0,gbdt,0.8,0.0,0.5,0.1,255.0,multi_error,500.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.5935340193518661,0.9999872006553264,0.5912145298160734,0.5935340193518661,0.5935340193518661,0.5935340193518661,0.5935340193518661,ok
